CountyId,State,County,TotalPop,Poverty,Unemployment
1001,Alabama,Autauga County,55036,13.7,5.2
1003,Alabama,Baldwin County,203360,11.8,5.5
1005,Alabama,Barbour County,26201,27.2,12.4
1007,Alabama,Bibb County,22580,15.2,8.2
1009,Alabama,Blount County,57667,15.6,4.9
1011,Alabama,Bullock County,10478,28.5,12.1
1013,Alabama,Butler County,20126,24.4,7.6
1015,Alabama,Calhoun County,115527,18.6,10.1
1017,Alabama,Chambers County,33895,18.8,6.4
1019,Alabama,Cherokee County,25855,16.1,5.3
1021,Alabama,Chilton County,43805,19.4,6.7
1023,Alabama,Choctaw County,13188,22.3,9.8
1025,Alabama,Clarke County,24625,25.3,15.2
1027,Alabama,Clay County,13407,19.1,6.4
1029,Alabama,Cleburne County,14939,19.1,7.8
1031,Alabama,Coffee County,51073,16.1,6
1033,Alabama,Colbert County,54435,16.8,6.9
1035,Alabama,Conecuh County,12649,26.4,14.5
1037,Alabama,Coosa County,10955,14.4,11.3
1039,Alabama,Covington County,37519,17.6,10.7
1041,Alabama,Crenshaw County,13866,17.6,6.4
1043,Alabama,Cullman County,81703,16.4,5.8
1045,Alabama,Dale County,49393,19.6,10.4
1047,Alabama,Dallas County,40755,31.9,13.7
1049,Alabama,DeKalb County,71194,21.5,5.1
1051,Alabama,Elmore County,80989,13.5,7.3
1053,Alabama,Escambia County,37621,23.8,13.7
1055,Alabama,Etowah County,103132,17.9,7.6
1057,Alabama,Fayette County,16657,18.1,8.4
1059,Alabama,Franklin County,31507,23,8.2
1061,Alabama,Geneva County,26572,22.5,8.9
1063,Alabama,Greene County,8533,38.8,14.8
1065,Alabama,Hale County,14995,26.1,11.7
1067,Alabama,Henry County,17110,13.7,6.7
1069,Alabama,Houston County,104108,18.5,7.6
1071,Alabama,Jackson County,52326,19,7.7
1073,Alabama,Jefferson County,659460,17.6,7.7
1075,Alabama,Lamar County,14021,23.1,7.9
1077,Alabama,Lauderdale County,92590,16.3,6.6
1079,Alabama,Lawrence County,33288,16.6,7.2
1081,Alabama,Lee County,156597,22,5.7
1083,Alabama,Limestone County,91695,14.8,7.1
1085,Alabama,Lowndes County,10362,30.2,11.2
1087,Alabama,Macon County,19358,25.9,14.5
1089,Alabama,Madison County,353213,13.6,6.5
1091,Alabama,Marengo County,19743,25.6,12.8
1093,Alabama,Marion County,30058,17.6,5.5
1095,Alabama,Marshall County,94738,21,6.5
1097,Alabama,Mobile County,414328,19.3,7.5
1099,Alabama,Monroe County,21745,33.7,21.6
1101,Alabama,Montgomery County,227120,20.8,7.6
1103,Alabama,Morgan County,119157,16.6,6.5
1105,Alabama,Perry County,9680,41.9,11.8
1107,Alabama,Pickens County,20170,22.9,12.2
1109,Alabama,Pike County,33287,26.3,8.7
1111,Alabama,Randolph County,22530,18.7,5.8
1113,Alabama,Russell County,58480,20.9,9.7
1115,Alabama,St. Clair County,86937,13.7,5.8
1117,Alabama,Shelby County,208721,8.3,4.3
1119,Alabama,Sumter County,13084,36,13.4
1121,Alabama,Talladega County,80888,19.3,10
1123,Alabama,Tallapoosa County,40756,21.2,9.2
1125,Alabama,Tuscaloosa County,204424,17.3,6.7
1127,Alabama,Walker County,64927,21.5,10
1129,Alabama,Washington County,16746,22,11
1131,Alabama,Wilcox County,10919,31.9,17.2
1133,Alabama,Winston County,23968,18.7,9.4
2013,Alaska,Aleutians East Borough,3338,16.7,2.4
2016,Alaska,Aleutians West Census Area,5784,7.5,1.9
2020,Alaska,Anchorage Municipality,298225,8.1,5.8
2050,Alaska,Bethel Census Area,17957,27,19.3
2060,Alaska,Bristol Bay Borough,917,7.1,6.8
2068,Alaska,Denali Borough,2303,15.5,1.9
2070,Alaska,Dillingham Census Area,4974,16.6,11.4
2090,Alaska,Fairbanks North Star Borough,100031,7.7,8
2100,Alaska,Haines Borough,2537,8.4,2.7
2105,Alaska,Hoonah-Angoon Census Area,2146,11.1,11.7
2110,Alaska,Juneau City and Borough,32434,7.4,4.8
2122,Alaska,Kenai Peninsula Borough,57961,11,8.6
2130,Alaska,Ketchikan Gateway Borough,13745,10.6,7
2150,Alaska,Kodiak Island Borough,13773,9.3,5.3
2158,Alaska,Kusilvak Census Area,8129,39.1,28.8
2164,Alaska,Lake and Peninsula Borough,1301,16.5,13.2
2170,Alaska,Matanuska-Susitna Borough,101135,9.8,9.8
2180,Alaska,Nome Census Area,9869,24.9,16.6
2185,Alaska,North Slope Borough,9757,10.2,9.5
2188,Alaska,Northwest Arctic Borough,7715,25.3,20.1
2195,Alaska,Petersburg Borough,3275,7.8,4.8
2198,Alaska,Prince of Wales-Hyder Census Area,6473,16,13.5
2220,Alaska,Sitka City and Borough,8810,9.2,5
2230,Alaska,Skagway Municipality,1038,5.6,7.9
2240,Alaska,Southeast Fairbanks Census Area,6889,13.9,12.5
2261,Alaska,Valdez-Cordova Census Area,9439,7.4,7.5
2275,Alaska,Wrangell City and Borough,2475,11.7,7
2282,Alaska,Yakutat City and Borough,682,6.2,6.5
2290,Alaska,Yukon-Koyukuk Census Area,5453,25.5,19.7
4001,Arizona,Apache County,71602,35.9,14.1
4003,Arizona,Cochise County,126516,18.1,7.6
4005,Arizona,Coconino County,138639,21,8.3
4007,Arizona,Gila County,53145,21.9,11.7
4009,Arizona,Graham County,37700,21.4,12.2
4011,Arizona,Greenlee County,9368,11.5,7.6
4012,Arizona,La Paz County,20477,19.7,9.5
4013,Arizona,Maricopa County,4155501,15.7,6
4015,Arizona,Mohave County,204691,18.6,10.1
4017,Arizona,Navajo County,107902,29.1,16.3
