ID,NAME,ADDRESS,CITY,STATE,TYPE,STATUS,LATITUDE,LONGITUDE,OWNER,BEDS,HELIPAD
53391362,"""LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS""","""150 VIA MERIDA""",WESTLAKE VILAGE,CA,GENERAL ACUTE CARE,OPEN,34.15493887,-118.8157364,PROPRIETARY,40,N
11190023,"""EAST LOS ANGELES DOCTORS HOSPITAL""","""4060 WHITTIER BOULEVARD""",LOS ANGELES,CA,GENERAL ACUTE CARE,OPEN,34.0236473,-118.1841648,PROPRIETARY,127,N
17090028,"""SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD""","""6245 DE LONGPRE AVENUE""",HOLLYWOOD,CA,GENERAL ACUTE CARE,OPEN,34.09639136,-118.3252349,PROPRIETARY,100,N
23691706,"""KINDRED HOSPITAL BALDWIN PARK""","""14148 FRANCISQUITO AVENUE""",BALDWIN PARK,CA,GENERAL ACUTE CARE,OPEN,34.06303893,-117.9674378,PROPRIETARY,95,N
25190712,"""LAKEWOOD REGIONAL MEDICAL CENTER""","""3700 EAST SOUTH STREET""",LAKEWOOD,CA,GENERAL ACUTE CARE,OPEN,33.85970662,-118.148403,PROPRIETARY,172,N
30791016,"""MONROVIA MEMORIAL HOSPITAL""","""323 SOUTH HELIOTROPE AVENUE""",MONROVIA,CA,GENERAL ACUTE CARE,OPEN,34.14875866,-117.9926677,PROPRIETARY,49,N
30891754,"""MONTEREY PARK HOSPITAL""","""900 SOUTH ATLANTIC BOULEVARD""",MONTEREY PARK,CA,GENERAL ACUTE CARE,OPEN,34.04946606,-118.1382622,PROPRIETARY,101,N
47090505,"""STAR VIEW ADOLESCENT - P H F""","""4025 WEST 226 STREET""",TORRANCE,CA,PSYCHIATRIC,OPEN,33.82391446,-118.3560969,PROPRIETARY,16,N
9092879,"""CORONA REGIONAL MEDICAL CENTER-MAGNOLIA""","""730 MAGNOLIA AVENUE""",CORONA,CA,GENERAL ACUTE CARE,OPEN,33.85808331,-117.553858,PROPRIETARY,78,N
30696101,"""MODOC MEDICAL CENTER""","""228 W MCDOWELL AVE""",ALTURAS,CA,GENERAL ACUTE CARE,OPEN,41.48005626,-120.545744,GOVERNMENT - LOCAL,87,Y
38593901,"""SALINAS VALLEY MEMORIAL HOSPITAL""","""450 EAST ROMIE LANE""",SALINAS,CA,GENERAL ACUTE CARE,OPEN,36.65903046,-121.6459838,GOVERNMENT - DISTRICT/AUTHORITY,269,N
15992866,"""HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE""","""393 S. TUSTIN STREET""",ORANGE,CA,CHILDREN,OPEN,33.78272717,-117.8338919,PROPRIETARY,27,N
16192680,"""ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TUSTIN""","""14851 YORBA STREET""",TUSTIN,CA,GENERAL ACUTE CARE,OPEN,33.74746074,-117.8310556,PROPRIETARY,48,N
23792621,"""KINDRED HOSPITAL BREA""","""875 NORTH BREA BOULEVARD""",BREA,CA,GENERAL ACUTE CARE,OPEN,33.93449589,-117.8939488,PROPRIETARY,86,N
24392683,"""KINDRED HOSPITAL WESTMINSTER""","""200 HOSPITAL CIRCLE""",WESTMINSTER,CA,GENERAL ACUTE CARE,OPEN,33.76353321,-117.995256,PROPRIETARY,109,N
22093277,"""KAWEAH DELTA MENTAL HEALTH HOSPITAL""","""1100 SO. AKERS STREET""",VISALIA,CA,GENERAL ACUTE CARE,OPEN,36.32084395,-119.3482345,GOVERNMENT - DISTRICT/AUTHORITY,63,N
1931537,"""CHARLTON MEMORIAL HOSPITAL""","""2449 THIRD STREET""",FOLKSTON,GA,GENERAL ACUTE CARE,CLOSED,30.84527535,-82.00505739,GOVERNMENT - DISTRICT/AUTHORITY,-999,Y
5870563,"""DAUTERIVE HOSPITAL""","""600 N LEWIS AVE.""",NEW IBERIA,LA,GENERAL ACUTE CARE,OPEN,30.00690698,-91.79452385,PROPRIETARY,103,Y
13177954,"""CROCKETT MEDICAL CENTER""","""1100 EAST LOOP 304""",CROCKETT,TX,GENERAL ACUTE CARE,OPEN,31.32360364,-95.43889931,NON-PROFIT,25,Y
4671360,"""CENTRAL LOUISIANA STATE HOSPITAL""","""242 W SHAMROCK AVE""",PINEVILLE,LA,PSYCHIATRIC,OPEN,31.32737894,-92.44013511,GOVERNMENT - STATE,128,N
15671222,"""REEVES MEMORIAL MEDICAL CENTER""","""409 1ST ST""",BERNICE,LA,GENERAL ACUTE CARE,OPEN,32.82399167,-92.65664868,GOVERNMENT - DISTRICT/AUTHORITY,11,Y
16971241,"""SERENITY SPRINGS SPECIALTY HOSPITAL""","""309 N MAIN ST""",FARMERVILLE,LA,PSYCHIATRIC,OPEN,32.77612793,-92.40562585,PROPRIETARY,18,N
15371373,"""RIVERBRIDGE SPECIALTY HOSPITAL""","""209 FRONT ST.""",VIDALIA,LA,LONG TERM CARE,OPEN,31.56117486,-91.42606698,PROPRIETARY,40,N
5371418,"""CITIZENS MEDICAL CENTER""","""7939 HIGHWAY 165""",COLUMBIA,LA,GENERAL ACUTE CARE,OPEN,32.0773298,-92.09444821,GOVERNMENT - DISTRICT/AUTHORITY,40,Y
22830662,"""BROWN MEMORIAL CONVALESCENT CENTER""","""545 COOK STREET""",ROYSTON,GA,LONG TERM CARE,CLOSED,34.28325037,-83.11897237,PROPRIETARY,144,N
70990806,"""COLLEGE MEDICAL CENTER""","""2776 PACIFIC AVENUE""",LONG BEACH,CA,GENERAL ACUTE CARE,OPEN,33.80709287,-118.1933899,PROPRIETARY,121,N
71794577,"""KAISER FOUNDATION HOSPITAL - SAN LEANDRO""","""2500 MERCED STREET""",SAN LEANDRO,CA,GENERAL ACUTE CARE,OPEN,37.7064062,-122.1646545,NOT AVAILABLE,216,N
72590723,"""KINDRED HOSPITAL PARAMOUNT""","""16453 SOUTH COLORADO AVENUE""",PARAMOUNT,CA,LONG TERM CARE,OPEN,33.88463186,-118.1622671,PROPRIETARY,177,N
73790650,"""DEPARTMENT OF STATE HOSPITAL-METROPOLITAN""","""11401 BLOOMFIELD AVENUE""",NORWALK,CA,PSYCHIATRIC,OPEN,33.92803135,-118.0679897,GOVERNMENT - STATE,1265,N
196162274,"""PINCKNEYVILLE COMMUNITY HOSPITAL""","""5383 STATE ROUTE 154""",PINCKNEYVILLE,IL,CRITICAL ACCESS,OPEN,38.084846,-89.349108,GOVERNMENT - LOCAL,17,Y
85531419,"""ST JOSEPH'S HOSPITAL SAVANNAH""","""11705 MERCY BOULEVARD""",SAVANNAH,GA,GENERAL ACUTE CARE,OPEN,31.98543032,-81.15455637,NON-PROFIT,294,Y
87130286,"""UPSON REGIONAL MEDICAL CENTER""","""801 W GORDON STREET""",THOMASTON,GA,GENERAL ACUTE CARE,OPEN,32.8862977,-84.33650699,NOT AVAILABLE,115,N
87531719,"""PHOEBE SUMTER MEDICAL CENTER""","""126 HIGHWAY 280 W""",AMERICUS,GA,GENERAL ACUTE CARE,OPEN,32.06696234,-84.2560502,NOT AVAILABLE,76,Y
87931830,"""ROOSEVELT WARM SPRINGS LTAC HOSPITAL""","""6135 ROOSEVELT HIGHWAY""",WARM SPRINGS,GA,LONG TERM CARE,OPEN,32.88798074,-84.6923449,NOT AVAILABLE,32,N
90030265,"""SOUTHEASTERN REGIONAL MEDICAL CENTER""","""600 CELEBRATE LIFE PKWY""",NEWNAN,GA,GENERAL ACUTE CARE,OPEN,33.38483465,-84.75774669,PROPRIETARY,50,N
196500984,"""DOCTORS CENTER HOSPITAL SANFERNANDO DE CAROLINA""","""CALLE FERNANDEZ JUNCOS, EDIFICIO JESUS T. PINEIRO""",CAROLINA,PR,GENERAL ACUTE CARE,OPEN,18.380443,-65.95579,NOT AVAILABLE,988,N
2054311,"""BROWN COUNTY COMMUNITY TREATMENT CTR""","""3150 GERSHWIN DRIVE""",GREEN BAY,WI,PSYCHIATRIC,OPEN,44.52271226,-87.92482708,GOVERNMENT - LOCAL,16,N
151253226,"""WHEATON FRANCISCAN WI HEART SPINE AND ORTHO""","""10000 WEST BLUEMOUND ROAD""",WAUWATOSA,WI,GENERAL ACUTE CARE,CLOSED,43.03581215,-88.03726582,NOT AVAILABLE,40,N
196600956,"""HOSPITAL PSIQUIATRICO DE NINOS Y ADOLESCENTES""","""100 AVE LAUREL 100, URB. SANTA JUANITA""",BAYAMON,PR,PSYCHIATRIC,OPEN,18.36765566,-66.15439126,NOT AVAILABLE,-999,N
159171301,"""COMPASS BEHAVIORAL CENTER OF ALEXANDRIA""","""6410 MASONIC DRIVE""",ALEXANDRIA,LA,GENERAL ACUTE CARE,OPEN,31.25219156,-92.48198781,NOT AVAILABLE,18,N
163570394,"""OCSHNER ST. ANNE GENERAL HOSPITAL""","""4608 HIGHWAY 1""",RACELAND,LA,GENERAL ACUTE CARE,OPEN,29.70267142,-90.5652539,NOT AVAILABLE,38,Y
164970748,"""FELICIANA FORENSIC FACILITY""","""4502 HWY 951""",JACKSON,LA,GENERAL ACUTE CARE,OPEN,30.83263569,-91.21066049,GOVERNMENT - STATE,-999,N
160970056,"""UNITED MEDICAL HEALTHWEST-NEW ORLEANS""","""3201 WALL BOULEVARD""",GRETNA,LA,REHABILITATION,OPEN,29.86597947,-90.03069185,PROPRIETARY,14,N
152354971,"""RIPON MEDICAL CENTER""","""845 PARKSIDE ST""",RIPON,WI,CRITICAL ACCESS,OPEN,43.83437609,-88.81775153,NOT AVAILABLE,18,N
13402908,"""VA MEDICAL CENTER - PROVIDENCE""","""830 CHALKSTONE AVE""",PROVIDENCE,RI,GENERAL ACUTE CARE,OPEN,41.83213908,-71.43314954,GOVERNMENT - FEDERAL,-999,N
15954660,"""TOMAH VA MEDICAL CENTER""","""500 E VETERANS ST""",TOMAH,WI,MILITARY,OPEN,44.00308068,-90.49331901,GOVERNMENT - FEDERAL,-999,Y
5854452,"""ASCENSION GOOD SAMARITAN HOSPITAL""","""601 S CENTER AVE""",MERRILL,WI,GENERAL ACUTE CARE,OPEN,45.17563254,-89.68183128,NON-PROFIT,25,Y
58796001,"""RESTPADD PSYCHIATRIC HEALTH FACILITY""","""2750 EUREKA WAY""",REDDING,CA,PSYCHIATRIC,OPEN,40.58659539,-122.4119741,PROPRIETARY,16,N
59093436,"""THE CHAMPION CENTER""","""303 SOUTH C STREET""",LOMPOC,CA,REHABILITATION,CLOSED,34.63537161,-120.4521883,PROPRIETARY,34,N
23831825,"""STEWART WEBSTER HOSPITAL""","""580 ALSTON STREET""",RICHLAND,GA,CRITICAL ACCESS,CLOSED,32.08616827,-84.66069977,GOVERNMENT - DISTRICT/AUTHORITY,25,N
21891761,"""KAISER FOUNDATION HOSPITAL - ONTARIO""","""2295 S. VINEYARD AVENUE""",ONTARIO,CA,GENERAL ACUTE CARE,OPEN,34.03207956,-117.6085993,NON-PROFIT,176,N
25692354,"""LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL""","""25333 BARTON ROAD""",LOMA LINDA,CA,GENERAL ACUTE CARE,OPEN,34.04730564,-117.2516368,NON-PROFIT,134,N
